bookID,title,authors,average_rating,  num_pages
1510,Helen / Phoenician Women / Orestes,Euripides/David Kovacs,4.07,605
1511,Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,4.03,144
1515,The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,4.43,672
1516,Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,4.02,171
1517,Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,4.10,188
1518,The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,4.02,304
1519,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,4.02,335
1521,Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,4.02,224
1523,Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,4.10,160
1525,The Oresteia,Aeschylus/Ted Hughes,4.02,208
1526,Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.02,178
1527,The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,4.10,358
1529,Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,4.03,95
1530,The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,4.02,127
1531,Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.10,232
1532,The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,4.02,151
1533,The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,4.10,208
1536,Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,4.14,254
1537,The Oedipus Plays of Sophocles: Oedipus the King, Oedipus at Colonus, Antigone,9780452011670
1538,The Complete Plays,Sophocles/Paul Roche,4.27,420
1540,The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,3.97,259
1542,The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,3.97,430
1546,Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,3.97,304
1547,The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,3.97,223
1548,Electra and Other Plays,Sophocles/E.F. Watling,4.14,218
1549,Antigone, Oedipus the Kingn, Electra,9780192835888
1554,Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,3.70,75
1555,The Oedipus Plays of Sophocles,Sophocles/Paul Roche,3.97,390
1558,Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,3.70,214
1559,Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,3.70,144
1560,Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,4.06,624
1561,Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,3.94,256
