bookID,title,authors,Available
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,True
414,Vineland,Thomas Pynchon,True
415,Gravity's Rainbow,Thomas Pynchon,True
416,Slow Learner: Early Stories,Thomas Pynchon,True
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,True
420,The Year of Magical Thinking,Joan Didion,True
421,The White Album,Joan Didion,True
422,A Book of Common Prayer,Joan Didion,True
423,Where I Was From,Joan Didion,True
424,Slouching Towards Bethlehem,Joan Didion,True
425,Democracy,Joan Didion,True
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,True
428,Play It As It Lays,Joan Didion/David Thomson,True
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,True
432,City of Glass (The New York Trilogy  #1),Paul Auster,True
434,Ghosts (The New York Trilogy  #2),Paul Auster,True
435,The Locked Room (The New York Trilogy  #3),Paul Auster,True
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,True
446,The Brooklyn Follies,Paul Auster,True
447,Moon Palace,Paul Auster,True
453,The Music of Chance,Paul Auster,True
454,Travels in the Scriptorium,Paul Auster,True
456,Leviathan,Paul Auster,True
463,The Red Notebook: True Stories,Paul Auster,True
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,True
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,True
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,True
477,Collapse of Complex Societies,Joseph A. Tainter,True
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,True
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,True
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,True
493,My Inventions,Nikola Tesla,True
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,True
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,True
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,True
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,True
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,True
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,True
524,Lord of the Flies,William Golding,True
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,True
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,True
537,The Lovely Bones,Alice Sebold,True
538,The Lovely Bones,Alice Sebold,True
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,True
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,True
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,True
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,True
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,True
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,True
619,Vice (V  #8),Jane Feather,True
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,True
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,True
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,True
643,Motorcycle Basics Techbook,John Harold Haynes,True
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,True
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,True
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,True
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,True
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,True
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,True
664,The Fountainhead,Ayn Rand,True
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,True
667,Anthem,Ayn Rand,True
668,We the Living,Ayn Rand/Leonard Peikoff,True
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,True
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,True
672,Sailing for Dummies,J.J. Isler/Peter Isler,True
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,True
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,True
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,True
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,True
685,The Natural,Bernard Malamud/Kevin Baker,True
698,Digging to America,Anne Tyler,True
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,True
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,True
703,The Plot Against America,Philip Roth,True
707,Naked Pictures of Famous People,Jon   Stewart,True
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,True
762,Crónica de una muerte anunciada,Gabriel García Márquez,True
763,Cien años de soledad,Gabriel García Márquez,True
764,Del amor y otros demonios,Gabriel García Márquez,True
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,True
766,Memoria de mis putas tristes,Gabriel García Márquez,True
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,True
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,True
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,True
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,True
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,True
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,True
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,True
816,Cryptonomicon,Neal Stephenson,True
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,True
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,True
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,True
824,The Cobweb,Neal Stephenson/J. Frederick George,True
826,The Big U,Neal Stephenson,True
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,True
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,True
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,True
830,Snow Crash,Neal Stephenson/Guy Abadia,True
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,True
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,True
840,The Design of Everyday Things,Donald A. Norman,True
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,True
842,The Psychology of Everyday Things,Donald A. Norman,True
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,True
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,True
